branch,program,iteration,vsz_pr,rss_pr,vsz_tc,rss_ts,vsz_cg,rss_cg
compact-token,gzip.tea,19,4092,4020,1056,1228,864,792
compact-token,gzip.tea,20,4092,4020,1056,1288,864,792
compact-token,gzip.tea,21,4092,4020,1056,1288,864,792
compact-token,gzip.tea,22,4092,4020,1056,1228,864,804
compact-token,gzip.tea,23,4092,4020,1056,1168,864,792
compact-token,gzip.tea,24,4092,4080,1056,1348,864,792
compact-token,gzip.tea,25,4092,4020,1056,1288,864,792
compact-token,gzip.tea,26,4092,4080,1056,1288,864,792
compact-token,gzip.tea,27,4092,4020,1056,1228,864,792
compact-token,gzip.tea,28,4092,4020,1056,1168,864,792
compact-token,gzip.tea,29,4092,4080,1056,1348,864,800
compact-token,gzip.tea,30,4092,4020,1056,1168,864,804
compact-token,gzip.tea,31,4092,4080,1056,1288,864,792
compact-token,gzip.tea,32,4092,4080,1056,1348,864,792
compact-token,gzip.tea,33,4092,4020,1056,1228,864,796
compact-token,gzip.tea,34,4092,3960,1056,1288,864,792
compact-token,gzip.tea,35,4092,4020,1056,1288,864,792
compact-token,gzip.tea,36,4092,4080,1056,1348,864,792
compact-token,gzip.tea,37,4092,4080,1056,1288,864,792
compact-token,gzip.tea,38,4092,4080,1056,1288,864,792
compact-token,gzip.tea,39,4092,4080,1056,1348,864,792
compact-token,gzip.tea,40,4092,4080,1056,1348,864,796
compact-token,gzip.tea,41,4092,4020,1056,1228,864,792
compact-token,gzip.tea,42,4092,4080,1056,1348,864,804
compact-token,gzip.tea,43,4092,3960,1056,1288,864,800
compact-token,gzip.tea,44,4092,4080,1056,1348,864,792
compact-token,gzip.tea,45,4092,4020,1056,1244,864,792
compact-token,gzip.tea,46,4092,4020,1056,1244,864,800
compact-token,gzip.tea,47,4092,4080,1056,1288,864,792
compact-token,gzip.tea,48,4092,4020,1056,1288,864,792
compact-token,gzip.tea,49,4092,4020,1056,1288,864,792
compact-token,gzip.tea,50,4092,4080,1056,1348,864,792
compact-token,zlib.tea,1,6468,6660,13712,13840,1576,1320
compact-token,zlib.tea,2,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,3,6468,6660,13712,13972,1576,1320
compact-token,zlib.tea,4,6468,6660,13712,13900,1576,1328
compact-token,zlib.tea,5,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,6,6468,6720,13712,13960,1576,1328
compact-token,zlib.tea,7,6468,6720,13712,13960,1576,1328
compact-token,zlib.tea,8,6468,6600,13712,13960,1576,1320
compact-token,zlib.tea,9,6468,6660,13712,13840,1576,1320
compact-token,zlib.tea,10,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,11,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,12,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,13,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,14,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,15,6468,6660,13712,13960,1576,1320
